Incident_ID,Age,Gender,Race,School_Affiliation,Shooter_Outcome,Shooter_Died,Injury
20240819PAOLP,Teen,Male,,,Fled/Escaped,No,
20240816GAMUC,Adult,,,No Relation,Fled/Escaped,No,
20240816CASYS,Teen,Male,,Student,Apprehended/Killed by Other,No,
20240816GALAA,Adult,Male,,No Relation,Fled/Escaped,No,
20240811VAGAG,,,,Nonstudent Using Athletic Facilities/Attending Game,Surrendered,No,Wounded
20240809AZDOD,Minor,Male,,Student,Apprehended/Killed by LE,No,
20240809COCAC,18,Male,,Student,Apprehended/Killed by SRO,No,
20240730ORKLK,,,,,Fled/Escaped,No,
20240730OKSOO,Adult,Female,,No Relation,Fled/Escaped,No,
20240727OHWAT,,,,,Fled/Escaped,No,
20240726KYGRL,31,Male,White,No Relation,Fled/Apprehended,No,
20240725MSWEF,76,Male,White,No Relation,Subdued by Students/Staff/Other,No,
20240725SCJDA,Adult,,,Police Officer/SRO,Law Enforcement,No,
20240721TXGWH,,,,,Fled/Escaped,No,
20240718WATAT,40,Male,,No Relation,Fled/Apprehended,No,
20240717PAEDP,Adult,Male,,No Relation,Fled/Apprehended,No,
20240716KYWIL,,,,,Fled/Escaped,No,
20240712MDWIU,,,,,Fled/Escaped,No,
20240709CADEF,15,Male,,Student,Fled/Apprehended,No,
20240709TXGRG,44,Female,Black,Intimate Relationship,Fled/Apprehended,No,
20240707OHIND,,,,No Relation,Fled/Escaped,No,
20240701MDCOB,,,,,Fled/Escaped,No,
20240630MNROR,20,Male,,No Relation,Apprehended/Killed by LE,No,
20240623PAWAP,Adult,Male,,No Relation,Fled/Escaped,No,
20240621SCBRE,Teen,Male,,No Relation,Fled/Escaped,No,
20240619NCLIS,30,Male,White,No Relation,Fled/Apprehended,No,
20240615PADOM,23,Male,,No Relation,Fled/Apprehended,No,
20240615MDPOO,29,Male,,Nonstudent Using Athletic Facilities/Attending Game,Fled/Apprehended,No,
20240613MABOB,,,,,Fled/Escaped,No,
20240611OHSOC,,,,No Relation,Fled/Escaped,No,
20240611SCMIG,36,Male,White,No Relation,Fled/Apprehended,No,
20240610NEELO,17,Male,Black,Student,Fled/Escaped,No,
20240610FLPAL,Adult,,,Other Staff,Surrendered,No,Wounded
20240607CACAC,Teen,Male,,Student,Fled/Escaped,No,
20240606MOEAM,,,,,Fled/Escaped,No,
20240606MOEAM,,,,,Fled/Escaped,No,
20240606CAMOM,33,Male,,No Relation,Fled/Apprehended,No,
20240606WAGAS,Teen,Male,,Student,Fled/Escaped,No,
20240606WAGAS2,Teen,Male,,Student,Fled/Apprehended,No,
20240604FLCEM,24,Male,,No Relation,Fled/Apprehended,No,
20240604COMID,Adult,,,Police Officer/SRO,Law Enforcement,No,
20240603WAKEK,,,,,Fled/Escaped,No,
20240603ILSAC,Adult,Male,,No Relation,Fled/Escaped,No,
20240603NYPSB,,Male,,,Fled/Escaped,No,
20240603NYPSB,,Male,,,Fled/Escaped,No,
20240531MIARS,,,,,Fled/Apprehended,No,
20240529WALEE,Adult,Male,,Gang Member,Fled/Apprehended,No,
20240529NYPSQ,Teen,Male,,No Relation,Fled/Escaped,No,
20240529NYPSQ,Teen,Male,,No Relation,Fled/Escaped,No,
20240528ORROP,,,,,Fled/Escaped,No,
20240525IAROD,Adult,,,Relative,Apprehended/Killed by LE,No,
20240525IAROD,Adult,,,Relative,Apprehended/Killed by LE,No,
20240524NMGAA,Teen,Male,,,Apprehended/Killed by LE,No,
20240523MTWHB,Adult,Male,,No Relation,Fled/Escaped,No,
20240523MAKIC,23,Male,,Nonstudent Using Athletic Facilities/Attending Game,Fled/Apprehended,No,
20240523OHMAC,,Male,,,Fled/Escaped,No,
20240523CASKO,Adult,Male,,Relative,Fled/Apprehended,No,
20240523CASKO,Adult,Male,,Relative,Fled/Apprehended,No,
20240523LAWEH,17,Male,,Student,Fled/Apprehended,No,
20240522FLNOC,Adult,Male,,Relative,Apprehended/Killed by LE,No,
20240522NCPUM,,,,,Fled/Escaped,No,
20240521MIALG,13,Male,,Student,Surrendered,No,
20240519MOCAC,20,Male,Black,Relative,Apprehended/Killed by LE,No,
20240518SCBOB,52,Male,White,Parent,Fled/Apprehended,No,
20240518MODEK,,,,,Fled/Escaped,No,
20240518OHMAC,Adult,Male,,Other Staff,Fled/Apprehended,No,
20240518OHWIC,,,,,Fled/Escaped,No,
20240516OHBUC,Adult,Male,,,Fled/Escaped,No,
20240514INMCI,Teen,Male,,Student,Fled/Apprehended,No,
20240512TXMAM,Adult,Male,,Nonstudent Using Athletic Facilities/Attending Game,Fled/Escaped,No,
20240510NCWEH,Child,Male,,Student,Fled/Apprehended,No,
20240510OHAVA,Teen,Male,,Student,Fled/Apprehended,No,
20240510TXHAH,Teen,Male,,Student,Fled/Apprehended,No,
20240510VARIR,Adult,Male,,Other Staff,Surrendered,No,
20240509LACOB,Teen,Male,,Student,Surrendered,No,
20240508NMSOA,21,Male,,Relative,Fled/Escaped,No,
20240508FLSTL,19,Male,,Relative,Surrendered,No,Wounded
20240504NCPAW,Teen,Male,,Student,Surrendered,No,
20240504NEOHO,,,,Nonstudent Using Athletic Facilities/Attending Game,Fled/Escaped,No,
20240504NEOHO,,Male,,,Fled/Escaped,No,
20240503MDANA,Teen,Male,,,Fled/Escaped,No,
20240503MDANA,Teen,Male,,,Fled/Escaped,No,
20240503MDANA,Teen,Male,,,Fled/Escaped,No,
20240503MDANA,Teen,Male,,,Fled/Escaped,No,
20240503GADED,15,Female,,Student,Fled/Apprehended,No,
20240503NVLES,Teen,Male,,Nonstudent Using Athletic Facilities/Attending Game,Fled/Escaped,No,
20240503DCDUD,18,Male,,Student,Fled/Apprehended,No,
20240503DCDUD,17,Male,,Student,Fled/Apprehended,No,
20240501DCALW,Teen,Male,,Student,Fled/Escaped,No,
20240501DCALW,Teen,Male,,Student,Fled/Escaped,No,
20240501DCALW,Teen,Male,,Student,Fled/Escaped,No,
